,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
0,7,29,wednesday,0,morning,dhaka,dhaka,6.1,10,32,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
1,1,2,wednesday,0,night,dhaka,dhaka,0.0,10,22,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
2,1,4,tuesday,0,night,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
3,3,9,friday,1,night,dhaka,dhaka,0.0,10,30,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
4,8,34,thursday,0,night,dhaka,dhaka,21.9,9,38,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
5,8,34,thursay,0,night,dhaka,dhaka,21.9,9,38,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
6,2,7,sunday,0,night,dhaka,dhaka,0.6,10,23,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
7,1,1,saturday,1,evening,dhaka,dhaka,0.0,10,23,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
8,1,2,friday,1,evening,dhaka,dhaka,,10,21,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
9,2,7,sunday,0,night,dhaka,dhaka,0.6,10,23,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
10,11,46,monday,0,morning,dhaka,dhaka,0.0,10,29,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
11,11,45,sunday,0,morning,dhaka,dhaka,0.0,10,30,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
12,2,7,sunday,0,night,dhaka,dhaka,0.6,10,23,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,murder
